Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,888,36,852,48,12,0,1,4,0.040541,0.75,0.0,0.076923,,,3.6538461538461537,1.8235294117647058
INDEL,PASS,888,36,852,48,12,0,1,4,0.040541,0.75,0.0,0.076923,,,3.6538461538461537,1.8235294117647058
SNP,ALL,165841,136556,29285,141022,4466,0,2795,240,0.823415,0.9683309999999999,0.0,0.8900129999999999,3.966995118152685,3.9936968838526914,1.3946141072846725,0.9806738858691836
SNP,PASS,165841,136556,29285,141022,4466,0,2795,240,0.823415,0.9683309999999999,0.0,0.8900129999999999,3.966995118152685,3.9936968838526914,1.3946141072846725,0.9806738858691836
