Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,888,31,857,49,18,0,4,3,0.034910000000000004,0.632653,0.0,0.066169,,,3.6538461538461537,1.2272727272727273
INDEL,PASS,888,31,857,49,18,0,4,3,0.034910000000000004,0.632653,0.0,0.066169,,,3.6538461538461537,1.2272727272727273
SNP,ALL,165841,133684,32157,146470,12786,0,10307,273,0.8060970000000001,0.9127059999999999,0.0,0.856095,3.966995118152685,3.9620570499356327,1.3946141072846725,0.8953893137673564
SNP,PASS,165841,133684,32157,146470,12786,0,10307,273,0.8060970000000001,0.9127059999999999,0.0,0.856095,3.966995118152685,3.9620570499356327,1.3946141072846725,0.8953893137673564
