Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,888,24,864,62,38,0,8,2,0.027027,0.38709699999999997,0.0,0.050526,,,3.6538461538461537,1.5833333333333333
INDEL,PASS,888,24,864,62,38,0,8,2,0.027027,0.38709699999999997,0.0,0.050526,,,3.6538461538461537,1.5833333333333333
SNP,ALL,165841,91381,74460,114313,22932,0,19241,207,0.551016,0.799393,0.0,0.652363,3.966995118152685,3.915208324375457,1.3946141072846725,0.39632574785933283
SNP,PASS,165841,91381,74460,114313,22932,0,19241,207,0.551016,0.799393,0.0,0.652363,3.966995118152685,3.915208324375457,1.3946141072846725,0.39632574785933283
