Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,888,11,877,154,143,0,9,4,0.012387,0.07142899999999999,0.0,0.021113,,,3.6538461538461537,5.954545454545454
INDEL,PASS,888,11,877,154,143,0,9,4,0.012387,0.07142899999999999,0.0,0.021113,,,3.6538461538461537,5.954545454545454
SNP,ALL,165841,74144,91697,109575,35431,0,24404,242,0.447079,0.676651,0.0,0.538415,3.966995118152685,3.914603516325798,1.3946141072846725,0.4058402401785943
SNP,PASS,165841,74144,91697,109575,35431,0,24404,242,0.447079,0.676651,0.0,0.538415,3.966995118152685,3.914603516325798,1.3946141072846725,0.4058402401785943
