Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,888,36,852,44,8,0,2,3,0.040541,0.818182,0.0,0.077253,,,3.6538461538461537,1.3157894736842106
INDEL,PASS,888,36,852,44,8,0,2,3,0.040541,0.818182,0.0,0.077253,,,3.6538461538461537,1.3157894736842106
SNP,ALL,165841,143367,22474,150159,6792,0,5236,257,0.8644850000000001,0.9547680000000001,0.0,0.907386,3.966995118152685,3.990992488200492,1.3946141072846725,1.016937769479778
SNP,PASS,165841,143367,22474,150159,6792,0,5236,257,0.8644850000000001,0.9547680000000001,0.0,0.907386,3.966995118152685,3.990992488200492,1.3946141072846725,1.016937769479778
