Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,888,14,874,149,135,0,11,3,0.015766,0.09396,0.0,0.027001,,,3.6538461538461537,5.636363636363637
INDEL,PASS,888,14,874,149,135,0,11,3,0.015766,0.09396,0.0,0.027001,,,3.6538461538461537,5.636363636363637
SNP,ALL,165841,74115,91726,106750,32635,0,25055,222,0.446904,0.694286,0.0,0.543782,3.966995118152685,3.930032789913638,1.3946141072846725,0.329754104486908
SNP,PASS,165841,74115,91726,106750,32635,0,25055,222,0.446904,0.694286,0.0,0.543782,3.966995118152685,3.930032789913638,1.3946141072846725,0.329754104486908
