Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,888,16,872,197,181,0,11,7,0.018018,0.081218,0.0,0.029493000000000002,,,3.6538461538461537,6.148148148148148
INDEL,PASS,888,16,872,197,181,0,11,7,0.018018,0.081218,0.0,0.029493000000000002,,,3.6538461538461537,6.148148148148148
SNP,ALL,165841,73918,91923,107780,33862,0,25015,240,0.445716,0.685823,0.0,0.540295,3.966995118152685,3.9329488763787817,1.3946141072846725,0.35183373469797313
SNP,PASS,165841,73918,91923,107780,33862,0,25015,240,0.445716,0.685823,0.0,0.540295,3.966995118152685,3.9329488763787817,1.3946141072846725,0.35183373469797313
