Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,888,21,867,465,444,0,11,12,0.023649,0.045161,0.0,0.031042,,,3.6538461538461537,13.966666666666667
INDEL,PASS,888,21,867,465,444,0,11,12,0.023649,0.045161,0.0,0.031042,,,3.6538461538461537,13.966666666666667
SNP,ALL,165841,69245,96596,118923,49678,0,26921,296,0.417538,0.582268,0.0,0.486333,3.966995118152685,4.009266669474749,1.3946141072846725,0.6856608266712025
SNP,PASS,165841,69245,96596,118923,49678,0,26921,296,0.417538,0.582268,0.0,0.486333,3.966995118152685,4.009266669474749,1.3946141072846725,0.6856608266712025
