Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,888,19,869,71,52,0,5,5,0.021396000000000002,0.267606,0.0,0.039625,,,3.6538461538461537,2.380952380952381
INDEL,PASS,888,19,869,71,52,0,5,5,0.021396000000000002,0.267606,0.0,0.039625,,,3.6538461538461537,2.380952380952381
SNP,ALL,165841,79640,86201,109746,30106,0,23796,212,0.48021899999999995,0.725676,0.0,0.577966,3.966995118152685,3.950649584987369,1.3946141072846725,0.33673568818514005
SNP,PASS,165841,79640,86201,109746,30106,0,23796,212,0.48021899999999995,0.725676,0.0,0.577966,3.966995118152685,3.950649584987369,1.3946141072846725,0.33673568818514005
