Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,888,11,877,248,237,0,10,6,0.012387,0.044355,0.0,0.019366,,,3.6538461538461537,7.607142857142857
INDEL,PASS,888,11,877,248,237,0,10,6,0.012387,0.044355,0.0,0.019366,,,3.6538461538461537,7.607142857142857
SNP,ALL,165841,66407,99434,102506,36099,0,25405,221,0.400426,0.647835,0.0,0.49493400000000004,3.966995118152685,3.94796543901144,1.3946141072846725,0.35968112058788415
SNP,PASS,165841,66407,99434,102506,36099,0,25405,221,0.400426,0.647835,0.0,0.49493400000000004,3.966995118152685,3.94796543901144,1.3946141072846725,0.35968112058788415
