Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,888,15,873,189,174,0,9,5,0.016891999999999997,0.07936499999999999,0.0,0.027855,,,3.6538461538461537,6.4
INDEL,PASS,888,15,873,189,174,0,9,5,0.016891999999999997,0.07936499999999999,0.0,0.027855,,,3.6538461538461537,6.4
SNP,ALL,165841,65881,99960,102342,36461,0,25418,221,0.397254,0.643734,0.0,0.49131400000000003,3.966995118152685,3.938332368268674,1.3946141072846725,0.3709210737823501
SNP,PASS,165841,65881,99960,102342,36461,0,25418,221,0.397254,0.643734,0.0,0.49131400000000003,3.966995118152685,3.938332368268674,1.3946141072846725,0.3709210737823501
