Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,888,42,846,50,8,0,1,4,0.047297000000000006,0.84,0.0,0.08955199999999999,,,3.6538461538461537,1.7777777777777777
INDEL,PASS,888,42,846,50,8,0,1,4,0.047297000000000006,0.84,0.0,0.08955199999999999,,,3.6538461538461537,1.7777777777777777
SNP,ALL,165841,147858,17983,153945,6087,0,4528,277,0.8915649999999999,0.9604600000000001,0.0,0.924731,3.966995118152685,3.9600476850211037,1.3946141072846725,1.0844650860493141
SNP,PASS,165841,147858,17983,153945,6087,0,4528,277,0.8915649999999999,0.9604600000000001,0.0,0.924731,3.966995118152685,3.9600476850211037,1.3946141072846725,1.0844650860493141
