Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,888,39,849,47,8,0,1,4,0.043919,0.829787,0.0,0.083422,,,3.6538461538461537,1.6111111111111112
INDEL,PASS,888,39,849,47,8,0,1,4,0.043919,0.829787,0.0,0.083422,,,3.6538461538461537,1.6111111111111112
SNP,ALL,165841,141510,24331,148786,7276,0,5635,268,0.8532870000000001,0.951098,0.0,0.899541,3.966995118152685,3.9826194702119824,1.3946141072846725,0.999220660557362
SNP,PASS,165841,141510,24331,148786,7276,0,5635,268,0.8532870000000001,0.951098,0.0,0.899541,3.966995118152685,3.9826194702119824,1.3946141072846725,0.999220660557362
