Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,888,12,876,186,174,0,13,6,0.013513999999999998,0.06451599999999999,0.0,0.022346,,,3.6538461538461537,5.413793103448276
INDEL,PASS,888,12,876,186,174,0,13,6,0.013513999999999998,0.06451599999999999,0.0,0.022346,,,3.6538461538461537,5.413793103448276
SNP,ALL,165841,61759,104082,108779,47020,0,27127,284,0.372399,0.567747,0.0,0.44977799999999996,3.966995118152685,3.957435172948093,1.3946141072846725,0.5303460889138998
SNP,PASS,165841,61759,104082,108779,47020,0,27127,284,0.372399,0.567747,0.0,0.44977799999999996,3.966995118152685,3.957435172948093,1.3946141072846725,0.5303460889138998
