Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,888,16,872,127,111,0,11,4,0.018018,0.12598399999999998,0.0,0.031527,,,3.6538461538461537,4.681818181818182
INDEL,PASS,888,16,872,127,111,0,11,4,0.018018,0.12598399999999998,0.0,0.031527,,,3.6538461538461537,4.681818181818182
SNP,ALL,165841,90151,75690,120956,30805,0,23317,275,0.5435989999999999,0.745321,0.0,0.628675,3.966995118152685,3.9463891387912,1.3946141072846725,0.5147211681757273
SNP,PASS,165841,90151,75690,120956,30805,0,23317,275,0.5435989999999999,0.745321,0.0,0.628675,3.966995118152685,3.9463891387912,1.3946141072846725,0.5147211681757273
