Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,888,44,844,53,9,0,1,5,0.04955,0.830189,0.0,0.09351799999999999,,,3.6538461538461537,1.9444444444444444
INDEL,PASS,888,44,844,53,9,0,1,5,0.04955,0.830189,0.0,0.09351799999999999,,,3.6538461538461537,1.9444444444444444
SNP,ALL,165841,152186,13655,157742,5556,0,4045,280,0.9176620000000001,0.964778,0.0,0.94063,3.966995118152685,3.9425661914460286,1.3946141072846725,1.1448073314660212
SNP,PASS,165841,152186,13655,157742,5556,0,4045,280,0.9176620000000001,0.964778,0.0,0.94063,3.966995118152685,3.9425661914460286,1.3946141072846725,1.1448073314660212
