Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,888,37,851,47,10,0,2,4,0.041667,0.787234,0.0,0.079144,,,3.6538461538461537,1.6111111111111112
INDEL,PASS,888,37,851,47,10,0,2,4,0.041667,0.787234,0.0,0.079144,,,3.6538461538461537,1.6111111111111112
SNP,ALL,165841,151706,14135,155922,4216,0,2662,278,0.914768,0.9729610000000001,0.0,0.942967,3.966995118152685,3.9804197144408597,1.3946141072846725,1.1661850514031675
SNP,PASS,165841,151706,14135,155922,4216,0,2662,278,0.914768,0.9729610000000001,0.0,0.942967,3.966995118152685,3.9804197144408597,1.3946141072846725,1.1661850514031675
