Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,888,12,876,99,87,0,15,3,0.013513999999999998,0.12121199999999999,0.0,0.024316,,,3.6538461538461537,2.5357142857142856
INDEL,PASS,888,12,876,99,87,0,15,3,0.013513999999999998,0.12121199999999999,0.0,0.024316,,,3.6538461538461537,2.5357142857142856
SNP,ALL,165841,82429,83412,112068,29639,0,21920,221,0.497036,0.735527,0.0,0.593209,3.966995118152685,3.9423594266813673,1.3946141072846725,0.3882344197108774
SNP,PASS,165841,82429,83412,112068,29639,0,21920,221,0.497036,0.735527,0.0,0.593209,3.966995118152685,3.9423594266813673,1.3946141072846725,0.3882344197108774
