Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,888,43,845,50,7,0,1,4,0.048423,0.86,0.0,0.091684,,,3.6538461538461537,1.7777777777777777
INDEL,PASS,888,43,845,50,7,0,1,4,0.048423,0.86,0.0,0.091684,,,3.6538461538461537,1.7777777777777777
SNP,ALL,165841,148451,17390,154959,6508,0,4893,281,0.895141,0.958002,0.0,0.9255049999999999,3.966995118152685,3.970298617570645,1.3946141072846725,1.0911299137686734
SNP,PASS,165841,148451,17390,154959,6508,0,4893,281,0.895141,0.958002,0.0,0.9255049999999999,3.966995118152685,3.970298617570645,1.3946141072846725,1.0911299137686734
