Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,888,43,845,52,9,0,1,4,0.048423,0.826923,0.0,0.091489,,,3.6538461538461537,2.0588235294117645
INDEL,PASS,888,43,845,52,9,0,1,4,0.048423,0.826923,0.0,0.091489,,,3.6538461538461537,2.0588235294117645
SNP,ALL,165841,153181,12660,156227,3046,0,1528,280,0.9236620000000001,0.980503,0.0,0.951234,3.966995118152685,3.970791307391263,1.3946141072846725,1.2001323794502028
SNP,PASS,165841,153181,12660,156227,3046,0,1528,280,0.9236620000000001,0.980503,0.0,0.951234,3.966995118152685,3.970791307391263,1.3946141072846725,1.2001323794502028
