Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,888,17,871,88,71,0,8,5,0.019144,0.193182,0.0,0.034836,,,3.6538461538461537,2.52
INDEL,PASS,888,17,871,88,71,0,8,5,0.019144,0.193182,0.0,0.034836,,,3.6538461538461537,2.52
SNP,ALL,165841,78151,87690,109717,31566,0,23699,227,0.47124099999999997,0.712296,0.0,0.56722,3.966995118152685,3.936870050395968,1.3946141072846725,0.365539472537867
SNP,PASS,165841,78151,87690,109717,31566,0,23699,227,0.47124099999999997,0.712296,0.0,0.56722,3.966995118152685,3.936870050395968,1.3946141072846725,0.365539472537867
