Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,888,32,856,41,9,0,2,3,0.036036,0.780488,0.0,0.068891,,,3.6538461538461537,1.2777777777777777
INDEL,PASS,888,32,856,41,9,0,2,3,0.036036,0.780488,0.0,0.068891,,,3.6538461538461537,1.2777777777777777
SNP,ALL,165841,147519,18322,152337,4818,0,2362,268,0.8895209999999999,0.9683729999999999,0.0,0.9272729999999999,3.966995118152685,4.011580090140474,1.3946141072846725,1.1599200328942705
SNP,PASS,165841,147519,18322,152337,4818,0,2362,268,0.8895209999999999,0.9683729999999999,0.0,0.9272729999999999,3.966995118152685,4.011580090140474,1.3946141072846725,1.1599200328942705
